miRNA_name,LX-2,LX-2A,S-T1,S-T1A,H-T2,H-T2A
hsa-miR-21-5p,12230292,11648311,5527187,4775175,7978834,11183514
hsa-miR-216a-5p,1,0,1,12,0,0
hsa-miR-216b-5p,0,1,10,13,1,3
hsa-miR-217,0,1,0,0,1,0
hsa-miR-218-1-3p,96,49,1,0,0,3
hsa-miR-218-2-3p,7,1,0,0,0,0
hsa-miR-218-5p,20315,40540,242,392,911,4359
hsa-miR-219a-1-3p,10,19,87,175,7,19
hsa-miR-219a-5p,70,29,128,160,18,29
hsa-miR-219b-3p,2,0,2,0,2,1
hsa-miR-219b-5p,44,42,73,79,55,112
hsa-miR-221-3p,131194,39136,10686,22805,31385,40273
hsa-miR-221-5p,6808,3296,1068,2092,1054,1929
hsa-miR-222-3p,407220,664359,150232,290109,199769,353820
hsa-miR-222-5p,14,15,2,8,1,8
hsa-miR-223-3p,15,13,1,59,2,9
hsa-miR-22-3p,533133,426855,532144,412713,337880,542745
hsa-miR-224-3p,0,28,1496,1676,1253,1795
hsa-miR-224-5p,57,2538,100145,134237,101174,170865
hsa-miR-22-5p,8233,3340,4238,4925,1774,2656
hsa-miR-2276-3p,5,8,12,11,14,18
hsa-miR-2276-5p,1,0,3,1,0,3
hsa-miR-2277-3p,298,167,197,359,68,90
hsa-miR-2277-5p,43,32,34,82,9,24
hsa-miR-2278,180,228,586,159,198,234
hsa-miR-2355-3p,303,182,36,20,35,31
hsa-miR-23a-3p,329905,204095,674848,469112,185038,206085
hsa-miR-23a-5p,11,7,27,3,2,3
hsa-miR-23b-3p,318711,61558,657680,154109,215803,156935
hsa-miR-23b-5p,191,793,1139,2459,661,2829
hsa-miR-23c,10121,70,40708,167,26184,122
hsa-miR-24-1-5p,135,113,223,259,199,308
hsa-miR-24-2-5p,816,571,3716,3026,755,1102
hsa-miR-24-3p,184351,241923,400471,912861,172134,222816
hsa-miR-2467-3p,1,0,7,1,4,2
hsa-miR-2467-5p,8,0,21,11,11,17
hsa-miR-25-3p,19164,20839,5118,21231,21113,54425
hsa-miR-25-5p,7312,1911,733,3192,1180,3127
hsa-miR-2682-3p,763,308,56,1,143,184
hsa-miR-2682-5p,152,68,0,0,17,21
hsa-miR-26a-1-3p,66,106,76,214,20,87
hsa-miR-26a-2-3p,236,295,114,340,141,391
hsa-miR-26a-5p,425825,400195,227125,405506,147220,263646
hsa-miR-26b-3p,120,324,406,1143,555,695
hsa-miR-26b-5p,40285,35864,59494,69149,53847,49411
